@echo off
set aa=a
set aaa=b
set aaaa=c
set aaaaa=d
set aaaaaa=e
set aaaaaaa=f
set aaaaaaaa=g
set aaaaaaaaa=h
set aaaaaaaaaa=i
set aaaaaaaaaaa=j
set aaaaaaaaaaaa=k
set aaaaaaaaaaaaa=l
set aaaaaaaaaaaaaa=m
set aaaaaaaaaaaaaaa=n
set aaaaaaaaaaaaaaaa=o
set aaaaaaaaaaaaaaaaa=p
set aaaaaaaaaaaaaaaaaa=q
set aaaaaaaaaaaaaaaaaaa=r
set aaaaaaaaaaaaaaaaaaaa=s
set aaaaaaaaaaaaaaaaaaaaa=t
set aaaaaaaaaaaaaaaaaaaaaa=u
set aaaaaaaaaaaaaaaaaaaaaaa=v
set aaaaaaaaaaaaaaaaaaaaaaaa=w
set aaaaaaaaaaaaaaaaaaaaaaaaa=x
set aaaaaaaaaaaaaaaaaaaaaaaaaa=y
set aaaaaaaaaaaaaaaaaaaaaaaaaaa=z
%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaa%=1
%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%=0
:%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%
%aaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%: \\192.168.%%aaaaaaaaaa%%.%%aaaaaaaaaa%%aaaaaaaaaa%%\%aaaa%$
